0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,3.009813107815929,0.4696392551550593,1.003957557684146,,,3.2653090896521455,,1.359514204259249,4.416361089675907,1.0,0.0,0.0,,,,1.0,1.0,,1.0,2.0,1.0,2.0,,,,2.0,1.0,,1.0
,,,0.9146531837890883,1.4602277301716713,1.1366691505430953,,10.485011191711155,4.273706243091236,0.5432357963119886,1.0,0.0,,1.0,0.0,,1.0,,,1.0,2.0,2.0,,2.0,,,,2.0,2.0,1.0
0.3274648722428679,,2.547266922769137,,0.23617456391557748,3.2733240858137567,3.447228401572544,3.9121443281453443,,,0.0,,0.0,0.0,,,0.0,,0.0,1.0,2.0,1.0,,3.0,,3.0,,,2.0,2.0
0.455132240462097,,0.9599051029910126,1.4297353246636442,,,2.3719952211792688,2.8947846479135206,,1.0212916560478513,,0.0,,1.0,0.0,1.0,1.0,,1.0,,2.0,,1.0,1.0,,1.0,2.0,,2.0,
3.261607855544691,1.578469827566317,1.536618622801321,10.999263139796888,,,0.15178052075989557,,,0.04254719156252316,0.0,0.0,,0.0,0.0,0.0,,0.0,,,3.0,1.0,1.0,,2.0,,,2.0,,2.0
1.9231473213147174,0.12100176115127578,,0.7600554950427171,1.0130725952503403,0.37992429958715807,,,4.226931486351087,,,,,1.0,1.0,,0.0,1.0,1.0,0.0,,2.0,2.0,2.0,1.0,,,1.0,,2.0
2.653141357929815,2.690246818625587,,3.1263181023747677,,,,14.318841089072595,11.228398596537838,0.38592869432661325,0.0,,,0.0,1.0,,,0.0,1.0,0.0,2.0,2.0,2.0,3.0,,,2.0,3.0,,
8.145846158111047,1.8894705594216465,7.469785540486004,1.5177712796234162,8.998268958304303,,,,,2.736140274189188,,0.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,2.0,1.0,,2.0,,,2.0,2.0,
,2.2312650839396877,,0.7303017268433067,,3.530140938378085,,2.6319059688673647,1.217967047763683,5.294459058970525,,0.0,0.0,0.0,0.0,,0.0,,,1.0,0.0,,2.0,3.0,,,2.0,4.0,1.0,
1.8123151997386269,1.3978732375356615,8.938077298306332,,,,,0.8777408010863458,0.06823356872448275,7.056864245154793,,0.0,0.0,1.0,,0.0,,1.0,0.0,,,1.0,2.0,1.0,3.0,2.0,,,2.0,
0.22438154841030988,,,,0.7828842923522639,5.0360434361040625,2.1729119071770033,2.3734610141882326,,0.31201652494740817,,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,2.0,1.0,,,3.0,,,1.0,1.0
